,name,company,year,Price,kms_driven,fuel_type,price
70,Mini Cooper S,Mini,2013,1891111,13000,Petrol,1891111
71,Datsun Redi GO,Datsun,2017,235000,16000,Petrol,235000
72,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,159500
73,Honda Amaze,Honda,2015,344999,22000,Petrol,344999
74,Honda Amaze,Honda,2015,344999,22000,Petrol,344999
75,Renault Duster,Renault,2014,449999,50000,Diesel,449999
76,Mini Cooper S,Mini,2013,1891111,13500,Petrol,1891111
77,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel,865000
78,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,699000
79,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,375000
80,Ford EcoSport,Ford,2017,489999,39000,Petrol,489999
81,Honda Brio,Honda,2012,224999,30000,Petrol,224999
82,Volkswagen Vento Highline,Volkswagen,2019,1200000,3600,Diesel,1200000
83,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol,195000
84,Toyota Corolla Altis,Toyota,2010,351000,38000,Diesel,351000
85,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol,160000
86,Toyota Corolla Altis,Toyota,2009,240000,35000,Petrol,240000
87,Honda City 1.5,Honda,2005,90000,50000,Petrol,90000
88,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,415000
89,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel,155000
90,BMW 3 Series,BMW,2011,600000,60500,Petrol,600000
91,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol,189500
92,Toyota Etios GD,Toyota,2013,350000,60000,Diesel,350000
93,Ford Figo Diesel,Ford,2012,210000,35000,Diesel,210000
94,Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol,390000
95,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel,135000
96,BMW 7 Series,BMW,2009,1600000,35000,Petrol,1600000
97,Mahindra XUV500 W8,Mahindra,2013,701000,38000,Diesel,701000
98,Hyundai i10 Magna,Hyundai,2014,265000,18000,Petrol,265000
99,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel,525000
100,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,372000
101,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol,635000
102,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel,550000
103,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol,575000
104,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel,485000
105,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol,155000
106,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel,345000
107,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol,325000
108,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel,329500
109,Ford Figo Diesel,Ford,2014,195000,50000,Diesel,195000
110,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol,251111
111,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol,569999
112,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,69999
113,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,299999
114,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,220000
115,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,399999
116,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol,372000
117,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel,450000
118,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol,270000
119,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel,350000
120,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol,158400
121,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol,350000
122,Nissan Micra XV,Nissan,2011,179000,41000,Petrol,179000
123,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol,125000
124,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol,200000
125,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel,299000
126,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol,220000
127,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol,150000
128,Honda City 1.5,Honda,2010,285000,35000,Petrol,285000
129,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel,830000
130,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol,210000
131,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol,340000
132,Tata Indica V2,Tata,2006,90000,20000,Petrol,90000
133,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel,70000
134,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol,289999
135,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol,349999
136,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel,849999
137,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel,749999
138,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol,399999
139,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol,274999
140,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel,984999
141,Renault Duster,Renault,2014,449999,50000,Diesel,449999
142,Honda Amaze,Honda,2015,344999,22000,Petrol,344999
143,Nissan Sunny,Nissan,2012,224999,45000,Petrol,224999
144,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol,599999
145,Renault Kwid,Renault,2016,244999,11000,Petrol,244999
146,Renault Duster,Renault,2013,399999,41000,Diesel,399999
147,Ford EcoSport,Ford,2017,489999,39000,Petrol,489999
148,Renault Duster,Renault,2014,474999,50000,Diesel,474999
149,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel,499999
150,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol,310000
151,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol,85000
152,Datsun Redi GO,Datsun,2016,245000,7000,Petrol,245000
153,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel,189500
154,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel,169500
155,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel,159500
156,Toyota Etios GD,Toyota,2013,275000,24800,Petrol,275000
157,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel,370000
158,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol,168000
159,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel,150000
160,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel,145000
161,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel,98500
162,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,699000
163,Tata Indigo CS,Tata,2011,85000,11400,Diesel,85000
164,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol,575000
165,Honda City 1.5,Honda,2014,549000,39000,Petrol,549000
166,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel,209000
167,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol,185000
168,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,900000
169,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel,699999
170,Honda Brio,Honda,2012,224999,30000,Petrol,224999
171,Ford Fiesta,Ford,2011,274999,55000,Diesel,274999
172,Honda Amaze,Honda,2013,284999,46000,Diesel,284999
173,Honda City,Honda,2015,599999,30000,Diesel,599999
174,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol,199999
175,Honda City,Honda,2014,544999,45000,Diesel,544999
176,Hyundai i20,Hyundai,2009,199000,31000,Petrol,199000
177,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,320000
178,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,540000
179,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,340000
180,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,75000
181,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,159500
182,Mini Cooper S,Mini,2013,1891111,13000,Petrol,1891111
183,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol,49000
184,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol,700000
185,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol,55000
186,Honda City,Honda,2015,448999,54000,Petrol,448999
187,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol,895000
188,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel,355000
189,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel,565000
190,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel,365000
191,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol,145000
192,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol,210000
193,Tata Nano Cx,Tata,2013,40000,2200,Petrol,40000
194,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol,125000
195,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol,135000
196,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol,135000
197,Tata Sumo Victa,Tata,2012,285000,65000,Diesel,285000
198,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol,145000
199,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol,135000
200,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel,450000
201,Renault Scala RxL,Renault,2015,375000,25000,Diesel,375000
202,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,375000
203,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,365000
204,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,500000
205,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,400000
206,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,390000
207,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,501000
208,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel,330000
209,Force Motors Force,Force,2015,580000,3200,Diesel,580000
210,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,265000
211,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,379000
212,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,219000
213,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,385000
214,Toyota Etios,Toyota,2011,275000,36000,Diesel,275000
215,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,330000
216,Honda City ZX,Honda,2008,110000,45000,Petrol,110000
217,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol,80000
218,Honda City VX,Honda,2016,519000,52000,Diesel,519000
219,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel,730000
220,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel,1475000
221,Audi A4 1.8,Audi,2009,699000,47000,Petrol,699000
222,Mercedes Benz GLA,Mercedes,2015,2000000,20000,Diesel,2000000
223,Land Rover Freelander,Land,2015,2100000,30000,Diesel,2100000
224,Renault Kwid RXT,Renault,2017,340000,5000,Petrol,340000
225,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel,390000
226,Mercedes Benz B,Mercedes,2014,1400000,31000,Petrol,1400000
227,Datsun GO T,Datsun,2016,245000,7000,Petrol,245000
228,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,320000
229,Tata Indigo eCS,Tata,2016,320000,175400,Diesel,320000
230,Honda Jazz VX,Honda,2016,450000,41000,Petrol,450000
231,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol,311000
232,Honda Amaze,Honda,2013,284999,46000,Diesel,284999
233,Honda City,Honda,2012,399999,45000,Petrol,399999
234,Honda City,Honda,2015,599999,39000,Diesel,599999
235,Honda Amaze,Honda,2015,344999,22000,Petrol,344999
236,Audi A4 1.8,Audi,2009,699000,47000,Petrol,699000
237,Force Motors Force,Force,2015,580000,3200,Diesel,580000
238,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,855000
239,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel,535000
240,Mini Cooper S,Mini,2013,1891111,13000,Petrol,1891111
241,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol,699000
242,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,375000
243,Honda Amaze,Honda,2013,284999,46000,Diesel,284999
244,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol,178000
245,Tata Sumo Gold,Tata,2013,300000,50000,Diesel,300000
246,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol,90000
247,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol,95000
248,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol,255000
249,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel,245000
250,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel,329500
251,Ford Figo Diesel,Ford,2014,195000,50000,Diesel,195000
252,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol,251111
253,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol,569999
254,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,69999
255,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,299999
256,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,220000
257,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,399999
258,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol,249999
259,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol,289999
260,Mini Cooper S,Mini,2013,1891111,13500,Petrol,1891111
261,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel,499999
262,Renault Duster 85,Renault,2013,489999,27000,Diesel,489999
263,Renault Duster 85,Renault,2014,489999,59000,Diesel,489999
264,Renault Duster 85,Renault,2015,549999,19000,Diesel,549999
265,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol,380000
266,Renault Kwid RXT,Renault,2018,325000,15000,Petrol,325000
267,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol,57000
268,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol,349999
269,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,689999
270,Renault Scala RxL,Renault,2014,349999,49000,Diesel,349999
271,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol,410000
272,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol,225000
273,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol,120000
274,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,320000
275,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol,59000
276,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,540000
277,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol,80000
278,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,340000
279,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,75000
280,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol,220000
281,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,159500
282,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel,599000
283,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol,80000
284,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel,675000
285,Mini Cooper S,Mini,2013,1891111,13000,Petrol,1891111
286,Mini Cooper S,Mini,2013,1891111,13000,Petrol,1891111
287,Tata Indica V2,Tata,2008,150000,11000,Petrol,150000
288,Mini Cooper S,Mini,2013,1891111,13000,Petrol,1891111
289,Tata Indigo CS,Tata,2009,72500,46000,Diesel,72500
290,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol,610000
291,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel,230000
292,Honda Accord,Honda,2009,175000,58559,Petrol,175000
293,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,855000
294,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,375000
295,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel,520000
296,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel,524999
297,Honda Amaze,Honda,2014,299999,37000,Petrol,299999
298,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol,299999
299,Honda City,Honda,2011,284999,55000,Petrol,284999
300,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel,220000
301,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel,424999
302,Honda City,Honda,2015,644999,39000,Petrol,644999
303,Honda Mobilio,Honda,2014,399999,44000,Petrol,399999
304,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol,199999
305,Honda City,Honda,2014,584999,39000,Petrol,584999
306,Skoda Laura,Skoda,2012,349999,44000,Diesel,349999
307,Renault Duster,Renault,2015,449999,49000,Diesel,449999
308,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel,799999
309,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel,444999
310,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel,649999
311,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel,444999
312,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel,689999
313,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol,344999
314,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel,944999
315,Honda Amaze,Honda,2014,274999,35000,Petrol,274999
316,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel,689999
317,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel,574999
318,Skoda Laura,Skoda,2013,374999,50000,Diesel,374999
319,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel,199999
320,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol,549999
321,Tata Manza Aura,Tata,2012,130000,72000,Diesel,130000
322,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol,210000
323,Renault Duster 110,Renault,2012,501000,38000,Diesel,501000
324,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel,401000
325,Audi A4 2.0,Audi,2012,1350000,40000,Diesel,1350000
326,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol,600000
327,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel,610000
328,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel,400000
329,Renault Scala RxL,Renault,2015,375000,25000,Diesel,375000
330,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,375000
331,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,365000
332,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,500000
333,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,400000
334,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol,524999
335,Hyundai i20,Hyundai,2014,449999,23000,Petrol,449999
336,Hyundai Eon,Hyundai,2014,174999,14000,Petrol,174999
337,Hyundai i10,Hyundai,2012,244999,38000,Petrol,244999
338,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel,574999
339,Datsun Redi GO,Datsun,2017,244999,22000,Petrol,244999
340,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol,239999
341,Hyundai Accent,Hyundai,2010,99999,45000,Petrol,99999
342,Hyundai Verna,Hyundai,2014,489999,44000,Diesel,489999
343,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel,324999
344,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel,1074999
345,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol,230000
346,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel,699000
347,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel,1000000
348,Honda City 1.5,Honda,2010,240000,400000,Petrol,240000
349,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol,110000
350,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,390000
351,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,501000
352,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel,1130000
353,Tata Indigo eCS,Tata,2014,250000,40000,Diesel,250000
354,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel,330000
355,Force Motors Force,Force,2015,580000,3200,Diesel,580000
356,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel,340000
357,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel,120000
358,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol,265000
359,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,265000
360,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol,85000
361,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,379000
362,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol,175000
363,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,219000
364,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel,350000
365,Honda City ZX,Honda,2008,149000,42000,Petrol,149000
366,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,385000
367,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel,425000
368,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel,150000
369,Honda City 1.5,Honda,2010,225000,70000,Petrol,225000
370,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol,375000
371,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel,770000
372,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol,30000
373,Toyota Etios,Toyota,2011,275000,36000,Diesel,275000
374,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,330000
375,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel,335000
376,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel,450000
377,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol,225000
378,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol,80000
379,Tata Indigo LX,Tata,2016,130000,104000,Diesel,130000
380,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,245000
381,Mercedes Benz C,Mercedes,2002,399000,41000,Petrol,399000
382,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel,450000
383,Honda City,Honda,2000,65000,80000,Petrol,65000
384,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol,75000
385,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol,70000
386,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel,190000
387,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol,600000
388,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel,245000
389,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol,240000
